品种代码,合约类型,持仓周期,VIX平滑窗口,VIX分位数参数组合,VIX状态检视周期,标的均线参数组合,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,strategy
SC,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.298193615,0.047384578,0.158905408,0.130599312,0.362824102,pure_sell
SC,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.122648628,0.021369452,0.174233109,0.156702373,0.136369676,pure_sell
SC,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 20)",0.000489338,8.56E-05,0.175001858,0.19260952,0.000444604,pure_sell
SC,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 20)",-0.094027036,-0.017889836,0.190262682,0.228292697,-0.078363593,pure_sell
RU,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 15)",1.214862263,0.099707828,0.08207336,0.054630781,1.825121792,pure_sell
RU,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 15)",1.143840312,0.108572252,0.094919064,0.057621041,1.884246611,pure_sell
RU,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 20)",0.531196861,0.045220064,0.085128636,0.097123175,0.465594992,pure_sell
RU,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 20)",0.506844812,0.049839197,0.098332262,0.1195656,0.416835583,pure_sell
RU,虚值一档,inf,20,"(0.55, 0.1)",10,"(2, 10)",0.273285648,0.02273163,0.083179013,0.089496272,0.253995279,pure_sell
RU,平值期权,inf,20,"(0.55, 0.1)",10,"(2, 10)",0.174118259,0.016721421,0.096034852,0.117229406,0.142638453,pure_sell
RU,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.51117192,0.04168971,0.081557121,0.152110161,0.274075774,pure_sell
RU,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.449719727,0.042577723,0.094676129,0.16669094,0.255429137,pure_sell
RU,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 20)",1.036890223,0.081546827,0.078645574,0.064026988,1.273632082,pure_sell
RU,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 20)",0.915856762,0.083682375,0.091370592,0.07418332,1.128048384,pure_sell
RB,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 15)",-0.302828118,-0.013127562,0.043349878,0.019559506,-0.671160199,pure_sell
RB,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 15)",-0.473185859,-0.022047141,0.046592983,0.020541439,-1.07330067,pure_sell
RB,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 20)",-2.050648965,-0.099341865,0.048444111,0.030836251,-3.221593502,pure_sell
RB,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 20)",-2.121305235,-0.111826412,0.052715852,0.032877865,-3.401267502,pure_sell
RB,虚值一档,inf,20,"(0.55, 0.1)",10,"(2, 10)",2.819129908,0.105971132,0.037590014,0.007102227,14.92083145,pure_sell
RB,平值期权,inf,20,"(0.55, 0.1)",10,"(2, 10)",2.544006374,0.111686274,0.043901727,0.008367672,13.34735357,pure_sell
RB,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 10)",3.034979669,0.120423107,0.03967839,0.006048269,19.91034369,pure_sell
RB,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 10)",3.449151356,0.138814923,0.04024611,0.006294857,22.052116,pure_sell
RB,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 20)",-0.302828118,-0.013127562,0.043349878,0.019559506,-0.671160199,pure_sell
RB,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 20)",-0.473185859,-0.022047141,0.046592983,0.020541439,-1.07330067,pure_sell
